No,Nama,Alamat,hargaperkg,pengerjaanperjam,Latitude,Longitude,Geometry
1,Laundry Express Kiloan - Cucian Si Eneng,"Ruko Ditas, Jl. MT. Haryono, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",6,6,-7.945398951,112.6124671,01010000006C2CA2A916C81FC03C1803A932275C40
2,Laundry Antar Jemput Malang Yasashii,"Jl. M.T. Haryono Gg. 21 No.23, RT.04/RW.06, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",10,24,-7.945238602,112.6124746,0101000000F416C4A0ECC71FC0A914D4C832275C40
3,D'Laundry,"Jl. Kerto Leksono No.42, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",4,24,-7.950608322,112.6098763,0101000000CB5B93446CCD1FC00AE07C3608275C40
4,Radaf Laundry,"Jl. Joyo Raharjo No.101-147, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",5,24,-7.943291971,112.6049756,010100000034DA9954EEC51FC0E3E1B1EBB7265C40
5,Rumah Laundry,"Jl. Joyo Utomo 2, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",4,24,-7.942913171,112.6036485,010100000008FCBB078BC51FC0997F832DA2265C40
6,Laundry Antar Jemput Diva Laundry,"Jl. Joyo Raharjo No.276, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",4,24,-7.94124968,112.6055967,0101000000AF13C3F4D6C31FC0499CB718C2265C40
7,Lawndre (Laundry Antar Jemput Malang),"Jl. Sigura - Gura No.3A, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65152",5,6,-7.957253055,112.6121688,0101000000582714253AD41FC0AF96DDC52D275C40
8,Afrya Laundry,"Jl. Kalpataru No.53, RW.01, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",5,24,-7.949672297,112.6289719,010100000023A9FFE476CC1FC010B4411341285C40
9,L.E Laundry Kota Malang,"Jl. Bumi Tlaga Emas No.1-2, Dusun Klandungan, Landungsari, Kec. Dau, Kabupaten Malang, Jawa Timur",5,3,-7.936948858,112.5952619,01010000002DAE84856FBF1FC0782F8FC518265C40
10,Lucky Laundry,"Jl. Gajayana No.790, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",6,24,-7.943436396,112.6099603,0101000000F43DCE3014C61FC0DF34069709275C40
11,Laundry Room Malang,"Jl. Bendungan Sutami No.18, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",10,6,-7.95891903,112.6135101,0101000000784AC4DEEED51FC04676C0BF43275C40
12,Wash and Dry Laundry Service,"Jl. Terusan Dieng No.77, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",6,24,-7.971580705,112.6067015,0101000000FE3D5D0DE6E21FC0A4807732D4265C40
13,Waroenk Laundry,"Gg. Pertama No.15, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",5,24,-7.959915759,112.6147472,010100000071802728F4D61FC0E4CCA10458275C40
14,Kimi Laundry,"Jl. Mayjend Panjaitan No.233, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",10,6,-7.951253097,112.6174488,01010000004B5FBF4A15CE1FC02636CE4784275C40
15,Griya Laundry,"Jl. Bunga Merak No.51, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",7,6,-7.948813396,112.6229305,010100000044EA2EBD95CB1FC03AEEDF17DE275C40
16,Kyna Laundry,"Jl. Raya Candi II No.206, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",7,24,-7.963943506,112.6106316,0101000000A1D9A50114DB1FC098F1AA9614275C40
17,Laundry ND,"Jl. Bunga Srigading No.37, RT.02/RW.02, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",5,24,-7.952603721,112.6221609,0101000000DB0A945977CF1FC0736FE67BD1275C40
18,Fanzel Rumah Laundry,"Jl. Anggrek Vanda No.7, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",8,6,-7.955868379,112.6252167,010100000006240729CFD21FC03C07BE8C03285C40
19,Beeklin Laundry,"Jl. Pacar Air No.15, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",11,6,-7.949432031,112.6315634,0101000000626C0FE937CC1FC0D52600896B285C40
20,NA Laundry,"Jl. Kerto Raharjo No.55, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",6,24,-7.946877189,112.6104361,0101000000B8237E2C9AC91FC011648F6211275C40
21,Assyifa LAUNDRY,"Seberang perumahan Bougenville Jl. Raya Candi VI No.200A, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149",4,24,-7.950685,112.603685,0101000000E8305F5E80CD1FC07D0569C6A2265C40
22,Mbak Lastri Laundry Express,"Jl. Mertojoyo Sel. No.12d, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",18,24,-7.9474493,112.6054356,0101000000ED78382630CA1FC06375F574BF265C40
23,Katara LAUNDRY,"Ruko Barcelona, Jl. Mertojoyo Sel. No.9, Merjosari, Lowokwaru, Malang City, East Java 65144",7,2,-7.946708,112.604093,01010000003F726BD26DC91FC086AFAF75A9265C40
24,New Daily Clean,"Jl. Sunan Kalijaga No.22, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",7,4,-7.949347,112.605977,01010000000D39B69E21CC1FC03448C153C8265C40
25,Laundry YOK,"Jl. Sunan Kalijaga No.12, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65149",30,24,-7.94835,112.606008,01010000007AA52C431CCB1FC05247C7D5C8265C40
26,Mommy Laundry,"Jl. Sunan Kalijaga, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",6,24,-7.949395,112.6063,010100000095F1EF332ECC1FC026E4839ECD265C40
27,E MAM Express Laundry,"Jl. Joyosuko Timur No. 10A, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",11,24,-7.947576,112.605051,0101000000E2E5E95C51CA1FC0605AD427B9265C40
28,Hoki Laundry,"Jl. Mertojoyo Sel., Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",14,24,-7.946514,112.604392,010100000017D34CF73AC91FC0B37DC85BAE265C40
